,word,count,w_s_sum
300,罗司,12,141
301,婚礼,12,462
302,梵爵,12,823
303,嗮,12,1433
304,用品,12,1554
305,清仓,12,611
306,春夏季,12,76
307,异度,12,25633
308,飞誉,12,845
309,春夏,12,3038
310,原宿,12,4640
311,爱心,12,796
312,二折,12,76
313,毕六福,12,131
314,梅花,12,1987
315,报纸,11,822
316,女大号,11,9845
317,淑女,11,364
318,超,11,835
319,寸,11,55
320,一键,11,328
321,彩色,11,2125
322,圆形,11,7692
323,木耳,11,207
324,摆摊,11,9952
325,紫外,11,1633
326,2016,11,27
327,手绘,11,1480
328,3,11,6734
329,ANCHOW,11,287
330,套,11,14038
331,出嫁,10,4066
332,袖珍,10,95
333,小伞,10,1774
334,初,10,35
335,男晴雨,10,8898
336,暴雨,10,1750
337,晴,10,2422
338,礼物,10,651
339,黑伞,10,3202
340,插画,10,1391
341,大红,10,1554
342,反光,10,294
343,小童,10,9561
344,做印,10,13212
345,中国,10,235
346,小熊,10,146
347,芭比,10,942
348,2017,10,127
349,小口袋,10,5199
350,酒店,10,6002
351,多功能,10,1792
352,工艺,10,1085
353,FaSoLa,10,83
354,阳伞,10,1108
355,安妮,9,539
356,小晴雨,9,8842
357,男孩,9,119
358,长伞,9,2285
359,唯美,9,77
360,生活,9,15
361,防蝇,9,28380
362,晒太阳,9,93
363,雅,9,539
364,猫,9,247
365,名果,9,343
366,女五,9,4589
367,爱丽嘉,9,155
368,优恩美,9,326
369,古典,9,102
370,伞五,9,946
371,50,9,46
372,骨架,9,58
373,伞印,9,404
374,站立,9,596
375,18,9,362
376,色,9,1765
377,闪光,9,2104
378,天之水,9,126
379,江南,9,90
380,伞轻,9,558
381,童伞,9,367
382,糖果,8,129
383,蓝,8,411
384,伞套,8,282
385,动物,8,164
386,全钢,8,420
387,女款,8,8227
388,钩,8,1634
389,玫瑰,8,227
390,原创,8,1239
391,JOYMADE,8,447
392,饭桌,8,25986
393,放,8,1072
394,礼盒,8,130
395,星座,8,104
396,隔热,8,414
397,实用,8,94
398,1,8,6771
399,PVC,8,247
400,泡泡,8,228
401,遮菜,8,32158
402,susino,8,1912
403,红,8,1351
404,铁艺,8,5024
405,6,8,7577
406,日式,8,349
407,307E,8,470
408,防直,8,21
409,花朵,8,38
410,道具,8,186
411,迎宾,8,2369
412,赛洛,8,73
413,碗,8,11389
414,倩姿,8,434
415,直,8,460
416,涂鸦,8,1032
417,拐杖,8,574
418,系列,8,1632
419,心,8,527
420,送,7,712
421,古风,7,108
422,纯,7,925
423,HAVEN,7,133
424,幼儿,7,283
425,夹手,7,160
426,莫奈,7,108
427,伞包,7,205
428,高密,7,931
429,把,7,2187
430,架子,7,6370
431,晴之缘,7,97
432,二次元,7,65
433,有效,7,9489
434,女方,7,1164
435,绅士,7,562
436,折,7,1285
437,玫瑰花,7,65
438,羽毛,7,379
439,涩,7,26
440,豹纹,7,21
441,ZY,7,146
442,意,7,205
443,沙滩,7,8646
444,p,7,198
445,桌,7,37790
446,陌制,7,97
447,陌丽,7,577
448,手开,7,331
449,色织,7,108
450,促销,7,915
451,海军,7,82
452,V,7,74
453,✅,7,5870
454,天使,7,82
455,挡,7,540
456,厂家,7,4373
457,格纹,7,448
458,8,7,3160
459,陪嫁,7,1360
460,酷纪,6,278
461,熊,6,764
462,透光,6,406
463,Qzi,6,261
464,两,6,39
465,宫廷,6,13
466,粉色,6,487
467,艺源,6,133
468,厂家直销,6,3463
469,洋,6,38
470,跃高,6,385
471,实木,6,2390
472,葡,6,200
473,蝴蝶结,6,38
474,菠萝,6,368
475,TTK,6,3181
476,伸缩,6,392
477,蓝雨,6,204
478,欧式,6,2223
479,舞蹈,6,91
480,木质,6,46
481,数码,6,21
482,hellokitty,6,180
483,雏菊,6,4104
484,w,6,196
485,.,6,196
486,优雅,6,117
487,不锈钢,6,124
488,之,6,74
489,复古风,6,78
490,烫金,6,407
491,可印刷,6,417
492,女轻,6,16006
493,宫,6,40
494,金蝶,6,239
495,2014,6,6
496,日光,6,4
497,小红帽,6,920
498,小朋友,6,42
499,小女孩,6,811
500,c,6,196
501,UV,6,18
502,339S,6,46
503,厨房,6,5510
504,大堂,6,5761
505,挂钩,6,5396
506,免,6,4040
507,不透光,6,177
508,邮,6,200
509,ROE,6,32
510,强防,6,1472
511,西湖,6,799
512,小女,6,97
513,龙猫,6,538
514,加粗,6,28
515,塑料,6,3106
516,长,6,518
517,七彩,6,3466
518,黑,6,2260
519,336T,6,51
520,盖,5,30932
521,荷叶,5,25
522,同款,5,575
523,双面,5,174
524,旅行,5,7
525,紫霓儿,5,468
526,兔子,5,818
527,升级,5,217
528,韩式,5,130
529,三五,5,1208
530,元素,5,255
531,手机,5,914
532,伞骨,5,122
533,MAYDU,5,39
534,·,5,2902
535,凯蒂,5,86
536,Adima,5,108
537,车,5,2790
538,迪士尼,5,153
539,带,5,129
540,包,5,56
541,罩盖,5,2165
542,4,5,111
543,pejafan,5,497
544,女日系,5,2687
545,威迪,5,439
546,阿波罗,5,47
547,银胶防,5,557
548,登山,5,211
549,底座,5,111
550,3311E,5,1087
551,之秀,5,4970
552,东晨,5,814
553,设计,5,31
554,Hellokitty,5,316
555,男生,5,123
556,莱登,5,51
557,南极,5,108
558,小花,5,903
559,刻字,5,1971
560,静美,5,272
